date,from_currency,to_currency,exchange
09/01/2015,AUD,AUD,1
09/01/2015,AUD,CAD,0.96257
09/01/2015,AUD,EUR,0.68937
09/01/2015,AUD,GBP,0.53764
09/01/2015,AUD,USD,0.81435
09/01/2015,CAD,AUD,1.03889
09/01/2015,CAD,CAD,1
09/01/2015,CAD,EUR,0.71618
09/01/2015,CAD,GBP,0.55855
09/01/2015,CAD,USD,0.84602
09/01/2015,EUR,AUD,1.4506
09/01/2015,EUR,CAD,1.3963
09/01/2015,EUR,EUR,1
09/01/2015,EUR,GBP,0.7799
09/01/2015,EUR,USD,1.1813
09/01/2015,GBP,AUD,1.85998
09/01/2015,GBP,CAD,1.79036
09/01/2015,GBP,EUR,1.28222
09/01/2015,GBP,GBP,1
09/01/2015,GBP,USD,1.51468
09/01/2015,USD,AUD,1.22797
09/01/2015,USD,CAD,1.182
09/01/2015,USD,EUR,0.84653
09/01/2015,USD,GBP,0.6602
09/01/2015,USD,USD,1
10/01/2015,AUD,AUD,1
10/01/2015,AUD,CAD,0.96257
10/01/2015,AUD,EUR,0.68937
10/01/2015,AUD,GBP,0.53764
10/01/2015,AUD,USD,0.81435
10/01/2015,CAD,AUD,1.03889
10/01/2015,CAD,CAD,1
10/01/2015,CAD,EUR,0.71618
10/01/2015,CAD,GBP,0.55855
10/01/2015,CAD,USD,0.84602
10/01/2015,EUR,AUD,1.4506
10/01/2015,EUR,CAD,1.3963
10/01/2015,EUR,EUR,1
10/01/2015,EUR,GBP,0.7799
10/01/2015,EUR,USD,1.1813
10/01/2015,GBP,AUD,1.85998
10/01/2015,GBP,CAD,1.79036
10/01/2015,GBP,EUR,1.28222
10/01/2015,GBP,GBP,1
10/01/2015,GBP,USD,1.51468
10/01/2015,USD,AUD,1.22797
10/01/2015,USD,CAD,1.182
10/01/2015,USD,EUR,0.84653
10/01/2015,USD,GBP,0.6602
10/01/2015,USD,USD,1
11/01/2015,AUD,AUD,1
11/01/2015,AUD,CAD,0.96257
11/01/2015,AUD,EUR,0.68937
11/01/2015,AUD,GBP,0.53764
11/01/2015,AUD,USD,0.81435
11/01/2015,CAD,AUD,1.03889
11/01/2015,CAD,CAD,1
11/01/2015,CAD,EUR,0.71618
11/01/2015,CAD,GBP,0.55855
11/01/2015,CAD,USD,0.84602
11/01/2015,EUR,AUD,1.4506
11/01/2015,EUR,CAD,1.3963
11/01/2015,EUR,EUR,1
11/01/2015,EUR,GBP,0.7799
11/01/2015,EUR,USD,1.1813
11/01/2015,GBP,AUD,1.85998
11/01/2015,GBP,CAD,1.79036
11/01/2015,GBP,EUR,1.28222
11/01/2015,GBP,GBP,1
11/01/2015,GBP,USD,1.51468
11/01/2015,USD,AUD,1.22797
11/01/2015,USD,CAD,1.182
11/01/2015,USD,EUR,0.84653
11/01/2015,USD,GBP,0.6602
11/01/2015,USD,USD,1
12/01/2015,AUD,AUD,1
12/01/2015,AUD,CAD,0.96862
12/01/2015,AUD,EUR,0.68975
12/01/2015,AUD,GBP,0.53738
12/01/2015,AUD,USD,0.81418
12/01/2015,CAD,AUD,1.0324
12/01/2015,CAD,CAD,1
12/01/2015,CAD,EUR,0.7121
12/01/2015,CAD,GBP,0.5548
12/01/2015,CAD,USD,0.84056
12/01/2015,EUR,AUD,1.4498
12/01/2015,EUR,CAD,1.4043
12/01/2015,EUR,EUR,1
12/01/2015,EUR,GBP,0.7791
12/01/2015,EUR,USD,1.1804
12/01/2015,GBP,AUD,1.86087
12/01/2015,GBP,CAD,1.80246
12/01/2015,GBP,EUR,1.28353
12/01/2015,GBP,GBP,1
12/01/2015,GBP,USD,1.51508
12/01/2015,USD,AUD,1.22823
12/01/2015,USD,CAD,1.18968
12/01/2015,USD,EUR,0.84717
12/01/2015,USD,GBP,0.66003
12/01/2015,USD,USD,1
13/01/2015,AUD,AUD,1
13/01/2015,AUD,CAD,0.97625
13/01/2015,AUD,EUR,0.69247
13/01/2015,AUD,GBP,0.53784
13/01/2015,AUD,USD,0.81587
13/01/2015,CAD,AUD,1.02433
13/01/2015,CAD,CAD,1
13/01/2015,CAD,EUR,0.70932
13/01/2015,CAD,GBP,0.55093
13/01/2015,CAD,USD,0.83572
13/01/2015,EUR,AUD,1.4441
13/01/2015,EUR,CAD,1.4098
13/01/2015,EUR,EUR,1
13/01/2015,EUR,GBP,0.7767
13/01/2015,EUR,USD,1.1782
13/01/2015,GBP,AUD,1.85928
13/01/2015,GBP,CAD,1.81512
13/01/2015,GBP,EUR,1.2875
13/01/2015,GBP,GBP,1
13/01/2015,GBP,USD,1.51693
13/01/2015,USD,AUD,1.22568
13/01/2015,USD,CAD,1.19657
13/01/2015,USD,EUR,0.84875
13/01/2015,USD,GBP,0.65923
13/01/2015,USD,USD,1
14/01/2015,AUD,AUD,1
14/01/2015,AUD,CAD,0.97347
14/01/2015,AUD,EUR,0.69094
14/01/2015,AUD,GBP,0.53569
14/01/2015,AUD,USD,0.81358
14/01/2015,CAD,AUD,1.02726
14/01/2015,CAD,CAD,1
14/01/2015,CAD,EUR,0.70977
14/01/2015,CAD,GBP,0.55029
14/01/2015,CAD,USD,0.83576
14/01/2015,EUR,AUD,1.4473
14/01/2015,EUR,CAD,1.4089
14/01/2015,EUR,EUR,1
14/01/2015,EUR,GBP,0.7753
14/01/2015,EUR,USD,1.1775
14/01/2015,GBP,AUD,1.86676
14/01/2015,GBP,CAD,1.81723
14/01/2015,GBP,EUR,1.28982
14/01/2015,GBP,GBP,1
14/01/2015,GBP,USD,1.51877
14/01/2015,USD,AUD,1.22913
14/01/2015,USD,CAD,1.19652
14/01/2015,USD,EUR,0.84926
14/01/2015,USD,GBP,0.65843
14/01/2015,USD,USD,1
15/01/2015,AUD,AUD,1
15/01/2015,AUD,CAD,0.97964
15/01/2015,AUD,EUR,0.70706
15/01/2015,AUD,GBP,0.54246
15/01/2015,AUD,USD,0.82783
15/01/2015,CAD,AUD,1.02079
15/01/2015,CAD,CAD,1
15/01/2015,CAD,EUR,0.72176
15/01/2015,CAD,GBP,0.55374
15/01/2015,CAD,USD,0.84504
15/01/2015,EUR,AUD,1.4143
15/01/2015,EUR,CAD,1.3855
15/01/2015,EUR,EUR,1
15/01/2015,EUR,GBP,0.7672
15/01/2015,EUR,USD,1.1708
15/01/2015,GBP,AUD,1.84346
15/01/2015,GBP,CAD,1.80592
15/01/2015,GBP,EUR,1.30344
15/01/2015,GBP,GBP,1
15/01/2015,GBP,USD,1.52607
15/01/2015,USD,AUD,1.20798
15/01/2015,USD,CAD,1.18338
15/01/2015,USD,EUR,0.85412
15/01/2015,USD,GBP,0.65528
15/01/2015,USD,USD,1
16/01/2015,AUD,AUD,1
16/01/2015,AUD,CAD,0.98817
16/01/2015,AUD,EUR,0.70857
16/01/2015,AUD,GBP,0.54113
16/01/2015,AUD,USD,0.82109
16/01/2015,CAD,AUD,1.01197
